,Tanimoto_Similarity,DIPOLE_gasteiger,DIPOLE_mmff94,DIPOLE_eem2015bm,MIX_dGsolv298(kJ/mol),MIX_dHsolv298(kJ/mol),MIX_dSsolv298(kJ/mol/K),MIX_logK,MIX_logP,SOLUTE_PARAM_E_GC,SOLUTE_PARAM_S_GC,SOLUTE_PARAM_A_GC,SOLUTE_PARAM_B_GC,SOLUTE_PARAM_L_GC,SOLUTE_PARAM_V_GC,SOLUTE_PARAM_E_ML,SOLUTE_PARAM_S_ML,SOLUTE_PARAM_A_ML,SOLUTE_PARAM_B_ML,SOLUTE_PARAM_L_ML,SOLUTE_PARAM_V_ML,RDKIT_MaxAbsEStateIndex,RDKIT_MaxEStateIndex,RDKIT_MinAbsEStateIndex,RDKIT_MinEStateIndex,RDKIT_qed,RDKIT_SPS,RDKIT_MolWt,RDKIT_HeavyAtomMolWt,RDKIT_ExactMolWt,RDKIT_NumValenceElectrons,RDKIT_NumRadicalElectrons,RDKIT_MaxPartialCharge,RDKIT_MinPartialCharge,RDKIT_MaxAbsPartialCharge,RDKIT_MinAbsPartialCharge,RDKIT_FpDensityMorgan1,RDKIT_FpDensityMorgan2,RDKIT_FpDensityMorgan3,RDKIT_BCUT2D_MWHI,RDKIT_BCUT2D_MWLOW,RDKIT_BCUT2D_CHGHI,RDKIT_BCUT2D_CHGLO,RDKIT_BCUT2D_LOGPHI,RDKIT_BCUT2D_LOGPLOW,RDKIT_BCUT2D_MRHI,RDKIT_BCUT2D_MRLOW,RDKIT_AvgIpc,RDKIT_BalabanJ,RDKIT_BertzCT,RDKIT_Chi0,RDKIT_Chi0n,RDKIT_Chi0v,RDKIT_Chi1,RDKIT_Chi1n,RDKIT_Chi1v,RDKIT_Chi2n,RDKIT_Chi2v,RDKIT_Chi3n,RDKIT_Chi3v,RDKIT_Chi4n,RDKIT_Chi4v,RDKIT_HallKierAlpha,RDKIT_Ipc,RDKIT_Kappa1,RDKIT_Kappa2,RDKIT_Kappa3,RDKIT_LabuteASA,RDKIT_PEOE_VSA1,RDKIT_PEOE_VSA10,RDKIT_PEOE_VSA11,RDKIT_PEOE_VSA12,RDKIT_PEOE_VSA13,RDKIT_PEOE_VSA14,RDKIT_PEOE_VSA2,RDKIT_PEOE_VSA3,RDKIT_PEOE_VSA4,RDKIT_PEOE_VSA5,RDKIT_PEOE_VSA6,RDKIT_PEOE_VSA7,RDKIT_PEOE_VSA8,RDKIT_PEOE_VSA9,RDKIT_SMR_VSA1,RDKIT_SMR_VSA10,RDKIT_SMR_VSA2,RDKIT_SMR_VSA3,RDKIT_SMR_VSA4,RDKIT_SMR_VSA5,RDKIT_SMR_VSA6,RDKIT_SMR_VSA7,RDKIT_SMR_VSA8,RDKIT_SMR_VSA9,RDKIT_SlogP_VSA1,RDKIT_SlogP_VSA10,RDKIT_SlogP_VSA11,RDKIT_SlogP_VSA12,RDKIT_SlogP_VSA2,RDKIT_SlogP_VSA3,RDKIT_SlogP_VSA4,RDKIT_SlogP_VSA5,RDKIT_SlogP_VSA6,RDKIT_SlogP_VSA7,RDKIT_SlogP_VSA8,RDKIT_SlogP_VSA9,RDKIT_TPSA,RDKIT_EState_VSA1,RDKIT_EState_VSA10,RDKIT_EState_VSA11,RDKIT_EState_VSA2,RDKIT_EState_VSA3,RDKIT_EState_VSA4,RDKIT_EState_VSA5,RDKIT_EState_VSA6,RDKIT_EState_VSA7,RDKIT_EState_VSA8,RDKIT_EState_VSA9,RDKIT_VSA_EState1,RDKIT_VSA_EState10,RDKIT_VSA_EState2,RDKIT_VSA_EState3,RDKIT_VSA_EState4,RDKIT_VSA_EState5,RDKIT_VSA_EState6,RDKIT_VSA_EState7,RDKIT_VSA_EState8,RDKIT_VSA_EState9,RDKIT_FractionCSP3,RDKIT_HeavyAtomCount,RDKIT_NHOHCount,RDKIT_NOCount,RDKIT_NumAliphaticCarbocycles,RDKIT_NumAliphaticHeterocycles,RDKIT_NumAliphaticRings,RDKIT_NumAromaticCarbocycles,RDKIT_NumAromaticHeterocycles,RDKIT_NumAromaticRings,RDKIT_NumHAcceptors,RDKIT_NumHDonors,RDKIT_NumHeteroatoms,RDKIT_NumRotatableBonds,RDKIT_NumSaturatedCarbocycles,RDKIT_NumSaturatedHeterocycles,RDKIT_NumSaturatedRings,RDKIT_RingCount,RDKIT_MolLogP,RDKIT_MolMR,RDKIT_fr_C_O,RDKIT_fr_C_O_noCOO,RDKIT_fr_aldehyde,RDKIT_fr_allylic_oxid,RDKIT_fr_benzene,RDKIT_fr_bicyclic,RDKIT_fr_ester,RDKIT_fr_ether,RDKIT_fr_lactone,STERIC_backbone_length,STERIC_ratioSideChainContainingAtoms,STERIC_wienerIndex,STERIC_chiralCenters,STERIC_radiusGyration,STERIC_spherocity,STERIC_vdwVolume,STERIC_totalVolume,STERIC_numBridgeheadAtoms,STERIC_numStereocenters,dS (J/mol/K),BASE_Monomer_State_g,BASE_Monomer_State_l,BASE_Monomer_State_s,BASE_polymerization_type_ROMP,BASE_polymerization_type_ROP,BASE_polymerization_type_cationic,BASE_polymerization_type_cyclic,BASE_polymerization_type_ionic,BASE_polymerization_type_misc,BASE_polymerization_type_vinyl,BASE_Polymer_State_g,BASE_Polymer_State_s,BASE_Polymer_State_s ,BASE_Category_ROMP,BASE_Category_ROP,BASE_Category_cationic,BASE_Category_cyclic,BASE_Category_ionic,BASE_Category_misc,BASE_Category_vinyl
1,0.074,0.638932096228439,0.0664115123325359,0.737295519902701,0.0,0.0,0.0,0.0,0.0,0.566,1.0926,0.0,1.0126,4.3705,0.9942,0.4627,1.4162,0.0366,0.7215,4.2204,0.9942,10.6506018518519,10.6506018518519,0.479537037037036,-0.746574074074075,0.44398578954674,33.0,144.126,136.062,144.042258736,56,0,0.347495755397119,-0.447914970302287,0.447914970302287,0.347495755397119,1.0,1.3,1.6,16.6448100153674,10.2993864916174,2.31526514154497,-2.21903552210829,2.07984678437793,-2.40411872960767,5.863252660742609,-0.191316406393369,1.84112707512171,2.6314357378173,154.586629740041,7.7236146391316,5.7876937002347,5.7876937002347,4.60906090528062,3.01995190928764,3.01995190928764,2.15823049822939,2.15823049822939,1.24971580946707,1.24971580946707,0.636325076437786,0.636325076437786,-1.06,156.495801385346,7.05185682326622,2.2838674275995,1.09706198287124,58.1082651053846,9.4737259076001,0.0,12.2079327754966,0.0,0.0,11.9386105759037,0.0,9.58907436814364,0.0,0.0,0.0,13.8474743993812,0.0,0.0,19.0628002757437,11.9386105759037,0.0,0.0,0.0,26.0554071748779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.1465433514003,19.0628002757437,0.0,13.8474743993812,0.0,0.0,0.0,0.0,52.6,24.1465433514003,9.58907436814364,0.0,0.0,0.0,0.0,13.8474743993812,0.0,0.0,9.4737259076001,0.0,9.19444444444445,0.0,21.3012037037037,0.0,0.0,-0.959074074074073,0.0,-1.49314814814815,2.95657407407407,0.0,0.666666666666667,10,0,4,0,1,1,0,0,0,4,0,4,0,0,1,1,1,-0.1366,31.108,2,2,0,0,0,0,2,2,2,8,0.33,216.0,2,2.10973370509732,0.207311452243459,244.290244743142,1372.58277430441,0,2,-43.8,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
2,1.0,0.651552079701666,0.0653188617174855,0.740321764981287,-38.38,-67.12,-0.0964,6.73,0.37,0.566,1.0926,0.0,1.0126,4.3705,0.9942,0.4627,1.4162,0.0366,0.7215,4.2204,0.9942,10.6506018518519,10.6506018518519,0.479537037037036,-0.746574074074075,0.44398578954674,33.0,144.126,136.062,144.042258736,56,0,0.347495755397119,-0.447914970302287,0.447914970302287,0.347495755397119,1.0,1.3,1.6,16.6448100153674,10.2993864916174,2.31526514154497,-2.21903552210829,2.07984678437793,-2.40411872960767,5.863252660742609,-0.191316406393369,1.84112707512171,2.6314357378173,154.586629740041,7.7236146391316,5.7876937002347,5.7876937002347,4.60906090528062,3.01995190928764,3.01995190928764,2.15823049822939,2.15823049822939,1.24971580946707,1.24971580946707,0.636325076437786,0.636325076437786,-1.06,156.495801385346,7.05185682326622,2.2838674275995,1.09706198287124,58.1082651053846,9.4737259076001,0.0,12.2079327754966,0.0,0.0,11.9386105759037,0.0,9.58907436814364,0.0,0.0,0.0,13.8474743993812,0.0,0.0,19.0628002757437,11.9386105759037,0.0,0.0,0.0,26.0554071748779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.1465433514003,19.0628002757437,0.0,13.8474743993812,0.0,0.0,0.0,0.0,52.6,24.1465433514003,9.58907436814364,0.0,0.0,0.0,0.0,13.8474743993812,0.0,0.0,9.4737259076001,0.0,9.19444444444445,0.0,21.3012037037037,0.0,0.0,-0.959074074074073,0.0,-1.49314814814815,2.95657407407407,0.0,0.666666666666667,10,0,4,0,1,1,0,0,0,4,0,4,0,0,1,1,1,-0.1366,31.108,2,2,0,0,0,0,2,2,2,8,0.33,216.0,2,2.1097325795301,0.589252002679154,244.290244743142,1372.58277430441,0,2,-40.7,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
3,0.036,0.635179947036123,0.0592043634126717,0.738976157163287,0.0,0.0,0.0,0.0,0.0,0.566,1.0926,0.0,1.0126,4.3705,0.9942,0.4627,1.4162,0.0366,0.7215,4.2204,0.9942,10.6506018518519,10.6506018518519,0.479537037037036,-0.746574074074075,0.44398578954674,33.0,144.126,136.062,144.042258736,56,0,0.347495755397119,-0.447914970302287,0.447914970302287,0.347495755397119,1.0,1.3,1.6,16.6448100153674,10.2993864916174,2.31526514154497,-2.21903552210829,2.07984678437793,-2.40411872960767,5.863252660742609,-0.191316406393369,1.84112707512171,2.6314357378173,154.586629740041,7.7236146391316,5.7876937002347,5.7876937002347,4.60906090528062,3.01995190928764,3.01995190928764,2.15823049822939,2.15823049822939,1.24971580946707,1.24971580946707,0.636325076437786,0.636325076437786,-1.06,156.495801385346,7.05185682326622,2.2838674275995,1.09706198287124,58.1082651053846,9.4737259076001,0.0,12.2079327754966,0.0,0.0,11.9386105759037,0.0,9.58907436814364,0.0,0.0,0.0,13.8474743993812,0.0,0.0,19.0628002757437,11.9386105759037,0.0,0.0,0.0,26.0554071748779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.1465433514003,19.0628002757437,0.0,13.8474743993812,0.0,0.0,0.0,0.0,52.6,24.1465433514003,9.58907436814364,0.0,0.0,0.0,0.0,13.8474743993812,0.0,0.0,9.4737259076001,0.0,9.19444444444445,0.0,21.3012037037037,0.0,0.0,-0.959074074074073,0.0,-1.49314814814815,2.95657407407407,0.0,0.666666666666667,10,0,4,0,1,1,0,0,0,4,0,4,0,0,1,1,1,-0.1366,31.108,2,2,0,0,0,0,2,2,2,8,0.33,216.0,2,2.10973398044595,0.207311995681981,244.290244743142,1372.58277430441,0,2,-34.0,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
4,0.1,0.645555121090601,0.085056887258807,0.740035253207401,-32.55,-49.73,-0.0576,5.71,-1.77,0.566,1.0926,0.0,1.0126,4.3705,0.9942,0.4627,1.4162,0.0366,0.7215,4.2204,0.9942,10.6506018518519,10.6506018518519,0.479537037037036,-0.746574074074075,0.44398578954674,33.0,144.126,136.062,144.042258736,56,0,0.347495755397119,-0.447914970302287,0.447914970302287,0.347495755397119,1.0,1.3,1.6,16.6448100153674,10.2993864916174,2.31526514154497,-2.21903552210829,2.07984678437793,-2.40411872960767,5.863252660742609,-0.191316406393369,1.84112707512171,2.6314357378173,154.586629740041,7.7236146391316,5.7876937002347,5.7876937002347,4.60906090528062,3.01995190928764,3.01995190928764,2.15823049822939,2.15823049822939,1.24971580946707,1.24971580946707,0.636325076437786,0.636325076437786,-1.06,156.495801385346,7.05185682326622,2.2838674275995,1.09706198287124,58.1082651053846,9.4737259076001,0.0,12.2079327754966,0.0,0.0,11.9386105759037,0.0,9.58907436814364,0.0,0.0,0.0,13.8474743993812,0.0,0.0,19.0628002757437,11.9386105759037,0.0,0.0,0.0,26.0554071748779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.1465433514003,19.0628002757437,0.0,13.8474743993812,0.0,0.0,0.0,0.0,52.6,24.1465433514003,9.58907436814364,0.0,0.0,0.0,0.0,13.8474743993812,0.0,0.0,9.4737259076001,0.0,9.19444444444445,0.0,21.3012037037037,0.0,0.0,-0.959074074074073,0.0,-1.49314814814815,2.95657407407407,0.0,0.666666666666667,10,0,4,0,1,1,0,0,0,4,0,4,0,0,1,1,1,-0.1366,31.108,2,2,0,0,0,0,2,2,2,8,0.33,216.0,2,2.1097348872708,0.207312323763756,244.290244743142,1372.58277430441,0,2,-22.0,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
5,0.087,0.635997672784265,0.0702037413453111,0.740871199335307,-27.93,-44.87,-0.0568,4.9,-0.77,0.566,1.0926,0.0,1.0126,4.3705,0.9942,0.4627,1.4162,0.0366,0.7215,4.2204,0.9942,10.6506018518519,10.6506018518519,0.479537037037036,-0.746574074074075,0.44398578954674,33.0,144.126,136.062,144.042258736,56,0,0.347495755397119,-0.447914970302287,0.447914970302287,0.347495755397119,1.0,1.3,1.6,16.6448100153674,10.2993864916174,2.31526514154497,-2.21903552210829,2.07984678437793,-2.40411872960767,5.863252660742609,-0.191316406393369,1.84112707512171,2.6314357378173,154.586629740041,7.7236146391316,5.7876937002347,5.7876937002347,4.60906090528062,3.01995190928764,3.01995190928764,2.15823049822939,2.15823049822939,1.24971580946707,1.24971580946707,0.636325076437786,0.636325076437786,-1.06,156.495801385346,7.05185682326622,2.2838674275995,1.09706198287124,58.1082651053846,9.4737259076001,0.0,12.2079327754966,0.0,0.0,11.9386105759037,0.0,9.58907436814364,0.0,0.0,0.0,13.8474743993812,0.0,0.0,19.0628002757437,11.9386105759037,0.0,0.0,0.0,26.0554071748779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.1465433514003,19.0628002757437,0.0,13.8474743993812,0.0,0.0,0.0,0.0,52.6,24.1465433514003,9.58907436814364,0.0,0.0,0.0,0.0,13.8474743993812,0.0,0.0,9.4737259076001,0.0,9.19444444444445,0.0,21.3012037037037,0.0,0.0,-0.959074074074073,0.0,-1.49314814814815,2.95657407407407,0.0,0.666666666666667,10,0,4,0,1,1,0,0,0,4,0,4,0,0,1,1,1,-0.1366,31.108,2,2,0,0,0,0,2,2,2,8,0.33,216.0,2,2.10973433545817,0.207312554382564,244.290244743142,1372.58277430441,0,2,-43.0,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
6,0.045,0.630686309942288,0.0634252002710512,0.744024783753555,-21.38,-38.15,-0.0563,3.75,0.04,0.566,1.0926,0.0,1.0126,4.3705,0.9942,0.4627,1.4162,0.0366,0.7215,4.2204,0.9942,10.6506018518519,10.6506018518519,0.479537037037036,-0.746574074074075,0.44398578954674,33.0,144.126,136.062,144.042258736,56,0,0.347495755397119,-0.447914970302287,0.447914970302287,0.347495755397119,1.0,1.3,1.6,16.6448100153674,10.2993864916174,2.31526514154497,-2.21903552210829,2.07984678437793,-2.40411872960767,5.863252660742609,-0.191316406393369,1.84112707512171,2.6314357378173,154.586629740041,7.7236146391316,5.7876937002347,5.7876937002347,4.60906090528062,3.01995190928764,3.01995190928764,2.15823049822939,2.15823049822939,1.24971580946707,1.24971580946707,0.636325076437786,0.636325076437786,-1.06,156.495801385346,7.05185682326622,2.2838674275995,1.09706198287124,58.1082651053846,9.4737259076001,0.0,12.2079327754966,0.0,0.0,11.9386105759037,0.0,9.58907436814364,0.0,0.0,0.0,13.8474743993812,0.0,0.0,19.0628002757437,11.9386105759037,0.0,0.0,0.0,26.0554071748779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.1465433514003,19.0628002757437,0.0,13.8474743993812,0.0,0.0,0.0,0.0,52.6,24.1465433514003,9.58907436814364,0.0,0.0,0.0,0.0,13.8474743993812,0.0,0.0,9.4737259076001,0.0,9.19444444444445,0.0,21.3012037037037,0.0,0.0,-0.959074074074073,0.0,-1.49314814814815,2.95657407407407,0.0,0.666666666666667,10,0,4,0,1,1,0,0,0,4,0,4,0,0,1,1,1,-0.1366,31.108,2,2,0,0,0,0,2,2,2,8,0.33,216.0,2,2.10973445187038,0.207313002560909,244.290244743142,1372.58277430441,0,2,-25.0,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
7,0.346,0.642647975372123,0.0754147326202022,0.737958928911096,0.0,0.0,0.0,0.0,0.0,0.566,1.0926,0.0,1.0126,4.3705,0.9942,0.4627,1.4162,0.0366,0.7215,4.2204,0.9942,10.6506018518519,10.6506018518519,0.479537037037036,-0.746574074074075,0.44398578954674,33.0,144.126,136.062,144.042258736,56,0,0.347495755397119,-0.447914970302287,0.447914970302287,0.347495755397119,1.0,1.3,1.6,16.6448100153674,10.2993864916174,2.31526514154497,-2.21903552210829,2.07984678437793,-2.40411872960767,5.863252660742609,-0.191316406393369,1.84112707512171,2.6314357378173,154.586629740041,7.7236146391316,5.7876937002347,5.7876937002347,4.60906090528062,3.01995190928764,3.01995190928764,2.15823049822939,2.15823049822939,1.24971580946707,1.24971580946707,0.636325076437786,0.636325076437786,-1.06,156.495801385346,7.05185682326622,2.2838674275995,1.09706198287124,58.1082651053846,9.4737259076001,0.0,12.2079327754966,0.0,0.0,11.9386105759037,0.0,9.58907436814364,0.0,0.0,0.0,13.8474743993812,0.0,0.0,19.0628002757437,11.9386105759037,0.0,0.0,0.0,26.0554071748779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.1465433514003,19.0628002757437,0.0,13.8474743993812,0.0,0.0,0.0,0.0,52.6,24.1465433514003,9.58907436814364,0.0,0.0,0.0,0.0,13.8474743993812,0.0,0.0,9.4737259076001,0.0,9.19444444444445,0.0,21.3012037037037,0.0,0.0,-0.959074074074073,0.0,-1.49314814814815,2.95657407407407,0.0,0.666666666666667,10,0,4,0,1,1,0,0,0,4,0,4,0,0,1,1,1,-0.1366,31.108,2,2,0,0,0,0,2,2,2,8,0.33,216.0,2,2.10973393733683,0.207315307484718,244.290244743142,1372.58277430441,0,2,-46.0,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
8,0.045,0.620734440681257,0.0790665366272277,0.744107758830348,-21.38,-38.15,-0.0563,3.75,0.04,0.566,1.0926,0.0,1.0126,4.3705,0.9942,0.4627,1.4162,0.0366,0.7215,4.2204,0.9942,10.6506018518519,10.6506018518519,0.479537037037036,-0.746574074074075,0.44398578954674,33.0,144.126,136.062,144.042258736,56,0,0.347495755397119,-0.447914970302287,0.447914970302287,0.347495755397119,1.0,1.3,1.6,16.6448100153674,10.2993864916174,2.31526514154497,-2.21903552210829,2.07984678437793,-2.40411872960767,5.863252660742609,-0.191316406393369,1.84112707512171,2.6314357378173,154.586629740041,7.7236146391316,5.7876937002347,5.7876937002347,4.60906090528062,3.01995190928764,3.01995190928764,2.15823049822939,2.15823049822939,1.24971580946707,1.24971580946707,0.636325076437786,0.636325076437786,-1.06,156.495801385346,7.05185682326622,2.2838674275995,1.09706198287124,58.1082651053846,9.4737259076001,0.0,12.2079327754966,0.0,0.0,11.9386105759037,0.0,9.58907436814364,0.0,0.0,0.0,13.8474743993812,0.0,0.0,19.0628002757437,11.9386105759037,0.0,0.0,0.0,26.0554071748779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.1465433514003,19.0628002757437,0.0,13.8474743993812,0.0,0.0,0.0,0.0,52.6,24.1465433514003,9.58907436814364,0.0,0.0,0.0,0.0,13.8474743993812,0.0,0.0,9.4737259076001,0.0,9.19444444444445,0.0,21.3012037037037,0.0,0.0,-0.959074074074073,0.0,-1.49314814814815,2.95657407407407,0.0,0.666666666666667,10,0,4,0,1,1,0,0,0,4,0,4,0,0,1,1,1,-0.1366,31.108,2,2,0,0,0,0,2,2,2,8,0.33,216.0,2,2.10973453454006,0.207311992160679,244.290244743142,1372.58277430441,0,2,-41.0,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
9,0.061,0.641037430835662,0.0587588341046435,0.740773882865683,-33.39,-54.09,-0.0695,5.85,2.75,0.566,1.0926,0.0,1.0126,4.3705,0.9942,0.4627,1.4162,0.0366,0.7215,4.2204,0.9942,10.6506018518519,10.6506018518519,0.479537037037036,-0.746574074074075,0.44398578954674,33.0,144.126,136.062,144.042258736,56,0,0.347495755397119,-0.447914970302287,0.447914970302287,0.347495755397119,1.0,1.3,1.6,16.6448100153674,10.2993864916174,2.31526514154497,-2.21903552210829,2.07984678437793,-2.40411872960767,5.863252660742609,-0.191316406393369,1.84112707512171,2.6314357378173,154.586629740041,7.7236146391316,5.7876937002347,5.7876937002347,4.60906090528062,3.01995190928764,3.01995190928764,2.15823049822939,2.15823049822939,1.24971580946707,1.24971580946707,0.636325076437786,0.636325076437786,-1.06,156.495801385346,7.05185682326622,2.2838674275995,1.09706198287124,58.1082651053846,9.4737259076001,0.0,12.2079327754966,0.0,0.0,11.9386105759037,0.0,9.58907436814364,0.0,0.0,0.0,13.8474743993812,0.0,0.0,19.0628002757437,11.9386105759037,0.0,0.0,0.0,26.0554071748779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.1465433514003,19.0628002757437,0.0,13.8474743993812,0.0,0.0,0.0,0.0,52.6,24.1465433514003,9.58907436814364,0.0,0.0,0.0,0.0,13.8474743993812,0.0,0.0,9.4737259076001,0.0,9.19444444444445,0.0,21.3012037037037,0.0,0.0,-0.959074074074073,0.0,-1.49314814814815,2.95657407407407,0.0,0.666666666666667,10,0,4,0,1,1,0,0,0,4,0,4,0,0,1,1,1,-0.1366,31.108,2,2,0,0,0,0,2,2,2,8,0.33,216.0,2,2.1097347950383,0.207312533194688,244.290244743142,1372.58277430441,0,2,-25.0,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
10,0.045,0.640334585950916,0.0661064549565995,0.734332235316876,-21.38,-38.15,-0.0563,3.75,0.04,0.566,1.0926,0.0,1.0126,4.3705,0.9942,0.4627,1.4162,0.0366,0.7215,4.2204,0.9942,10.6506018518519,10.6506018518519,0.479537037037036,-0.746574074074075,0.44398578954674,33.0,144.126,136.062,144.042258736,56,0,0.347495755397119,-0.447914970302287,0.447914970302287,0.347495755397119,1.0,1.3,1.6,16.6448100153674,10.2993864916174,2.31526514154497,-2.21903552210829,2.07984678437793,-2.40411872960767,5.863252660742609,-0.191316406393369,1.84112707512171,2.6314357378173,154.586629740041,7.7236146391316,5.7876937002347,5.7876937002347,4.60906090528062,3.01995190928764,3.01995190928764,2.15823049822939,2.15823049822939,1.24971580946707,1.24971580946707,0.636325076437786,0.636325076437786,-1.06,156.495801385346,7.05185682326622,2.2838674275995,1.09706198287124,58.1082651053846,9.4737259076001,0.0,12.2079327754966,0.0,0.0,11.9386105759037,0.0,9.58907436814364,0.0,0.0,0.0,13.8474743993812,0.0,0.0,19.0628002757437,11.9386105759037,0.0,0.0,0.0,26.0554071748779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.1465433514003,19.0628002757437,0.0,13.8474743993812,0.0,0.0,0.0,0.0,52.6,24.1465433514003,9.58907436814364,0.0,0.0,0.0,0.0,13.8474743993812,0.0,0.0,9.4737259076001,0.0,9.19444444444445,0.0,21.3012037037037,0.0,0.0,-0.959074074074073,0.0,-1.49314814814815,2.95657407407407,0.0,0.666666666666667,10,0,4,0,1,1,0,0,0,4,0,4,0,0,1,1,1,-0.1366,31.108,2,2,0,0,0,0,2,2,2,8,0.33,216.0,2,2.10973523799701,0.589252202127347,244.290244743142,1372.58277430441,0,2,-41.1,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
